user000,271
user001,275
user002,232
user003,17
user004,77
user005,192
user006,87
user007,19
user008,48
user009,233
user010,285
user011,260
user012,19
user013,207
user014,224
user015,202
user016,65
user017,237
user018,118
user019,176
user020,81
user021,52
user022,23
user023,7
user024,146
user025,190
user026,217
user027,208
user028,132
user029,33
user030,57
user031,81
user032,36
user033,259
user034,268
user035,168
user036,147
user037,15
user038,153
user039,53
user040,49
user041,219
user042,5
user043,144
user044,145
user045,196
user046,297
user047,246
user048,174
user049,205
user050,97
user051,278
user052,10
user053,15
user054,226
user055,186
user056,211
user057,71
user058,85
user059,254
user060,281
user061,201
user062,157
user063,174
user064,224
user065,14
user066,45
user067,251
user068,254
user069,183
user070,55
user071,223
user072,119
user073,106
user074,154
user075,133
user076,25
user077,221
user078,72
user079,56
user080,218
user081,43
user082,182
user083,9
user084,297
user085,22
user086,1
user087,44
user088,253
user089,206
user090,121
user091,256
user092,104
user093,59
user094,203
user095,28
user096,16
user097,89
user098,247
user099,113
user100,223
user101,199
user102,235
user103,232
user104,143
user105,144
user106,162
user107,271
user108,1
user109,211
user110,172
user111,175
user112,104
user113,244
user114,60
user115,25
user116,298
user117,207
user118,95
user119,256
user120,147
user121,62
user122,28
user123,266
user124,126
user125,55
user126,198
user127,235
user128,196
user129,126
user130,160
user131,17
user132,142
user133,136
user134,128
user135,50
user136,217
user137,293
user138,153
user139,58
user140,115
user141,252
user142,167
user143,66
user144,299
user145,242
user146,117
user147,276
user148,90
user149,117
user150,24
user151,6
user152,0
user153,98
user154,210
user155,254
user156,298
user157,167
user158,82
user159,130
user160,182
user161,227
user162,79
user163,63
user164,102
user165,282
user166,130
user167,173
user168,111
user169,254
user170,76
user171,139
user172,179
user173,102
user174,269
user175,30
user176,103
user177,116
user178,281
user179,59
user180,262
user181,189
user182,72
user183,279
user184,250
user185,38
user186,37
user187,32
user188,102
user189,56
user190,252
user191,59
user192,246
user193,291
user194,193
user195,277
user196,28
user197,267
user198,38
user199,146
user200,298
user201,180
user202,106
user203,168
user204,216
user205,285
user206,87
user207,210
user208,207
user209,264
user210,139
user211,250
user212,274
user213,20
user214,79
user215,31
user216,37
user217,210
user218,81
user219,154
user220,232
user221,199
user222,64
user223,103
user224,203
user225,31
user226,140
user227,186
user228,177
user229,61
user230,268
user231,168
user232,68
user233,260
user234,215
user235,45
user236,80
user237,256
user238,165
user239,258
user240,218
user241,260
user242,38
user243,210
user244,198
user245,297
user246,84
user247,226
user248,146
user249,273
user250,230
user251,194
user252,150
user253,91
user254,1
user255,95
user256,277
user257,260
user258,140
user259,258
user260,211
user261,147
user262,144
user263,71
user264,209
user265,70
user266,131
user267,28
user268,48
user269,245
user270,292
user271,283
user272,160
user273,174
user274,147
user275,168
user276,124
user277,11
user278,163
user279,152
user280,32
user281,111
user282,279
user283,93
user284,218
user285,127
user286,28
user287,4
user288,239
user289,57
user290,101
user291,122
user292,147
user293,271
user294,168
user295,174
user296,68
user297,117
user298,257
user299,23
user300,291
user301,175
user302,285
user303,76
user304,256
user305,178
user306,210
user307,78
user308,252
user309,43
user310,31
user311,114
user312,15
user313,199
user314,291
user315,85
user316,0
user317,255
user318,108
user319,89
user320,124
user321,7
user322,4
user323,163
user324,182
user325,63
user326,161
user327,110
user328,79
user329,136
user330,274
user331,143
user332,113
user333,154
user334,254
user335,202
user336,175
user337,225
user338,260
user339,49
user340,152
user341,225
user342,217
user343,298
user344,251
user345,258
user346,137
user347,98
user348,245
user349,209
user350,204
user351,242
user352,121
user353,117
user354,58
user355,190
user356,294
user357,41
user358,178
user359,129
user360,182
user361,183
user362,222
user363,149
user364,274
user365,141
user366,33
user367,178
user368,167
user369,95
user370,214
user371,250
user372,202
user373,74
user374,26
user375,15
user376,80
user377,64
user378,9
user379,129
user380,145
user381,111
user382,51
user383,292
user384,237
user385,199
user386,34
user387,280
user388,214
user389,278
user390,0
user391,78
user392,97
user393,284
user394,143
user395,163
user396,278
user397,291
user398,194
user399,17
user400,156
user401,126
user402,148
user403,295
user404,98
user405,210
user406,59
user407,13
user408,144
user409,55
user410,108
user411,97
user412,61
user413,253
user414,202
user415,89
user416,37
user417,41
user418,170
user419,198
user420,76
user421,56
user422,204
user423,254
user424,289
user425,176
user426,112
user427,253
user428,247
user429,170
user430,130
user431,50
user432,128
user433,215
user434,35
user435,199
user436,144
user437,232
user438,25
user439,68
user440,88
user441,192
user442,109
user443,61
user444,134
user445,49
user446,154
user447,269
user448,263
user449,244
user450,57
user451,90
user452,242
user453,288
user454,0
user455,232
user456,299
user457,9
user458,38
user459,100
user460,159
user461,152
user462,115
user463,223
user464,276
user465,95
user466,171
user467,208
user468,211
user469,290
user470,216
user471,254
user472,228
user473,112
user474,199
user475,228
user476,161
user477,70
user478,146
user479,84
user480,18
user481,135
user482,293
user483,54
user484,3
user485,15
user486,250
user487,169
user488,155
user489,235
user490,140
user491,229
user492,70
user493,179
user494,144
user495,72
user496,31
user497,286
user498,217
