user4,06:39:22
user3,08:31:20
user3,14:22:14
user1,20:22:44
user3,06:02:54
user4,03:48:33
user3,05:22:21
user0,15:10:16
user1,16:24:27
user0,04:42:05
user5,17:35:35
user0,09:24:37
user2,15:24:53
user3,15:58:16
user1,20:30:57
user1,20:23:13
user1,08:04:01
user5,11:51:57
user2,17:52:16
user1,23:26:59
user4,22:48:47
user0,11:24:20
user3,06:31:44
user0,13:46:44
user0,06:21:27
user3,17:24:54
user5,15:47:52
user3,23:58:43
user4,00:29:38
user3,22:21:06
user3,06:26:15
user2,19:09:41
user5,00:27:44
user4,06:15:15
user1,06:31:37
user2,04:40:43
user2,14:58:33
user2,14:34:17
user2,07:37:05
user4,02:53:17
user5,00:25:54
user5,17:20:28
user1,10:05:00
user3,01:50:36
user3,00:29:53
user4,04:44:14
user3,12:36:37
user1,23:52:06
user2,13:50:56
user0,20:43:08
user5,01:20:41
user2,06:35:34
user1,18:40:24
user1,10:53:53
user0,16:28:42
user4,13:01:17
user0,03:32:52
user2,03:26:58
user2,12:11:11
user1,01:32:11
user5,20:58:08
user2,11:33:57
user5,22:46:35
user3,14:11:04
user4,04:10:42
user1,01:59:41
user0,16:01:22
user3,00:40:18
user2,09:01:01
user0,04:24:58
user3,13:55:43
user4,21:08:45
user2,07:35:29
user5,16:17:18
user5,08:34:49
user3,06:34:01
user3,09:07:23
user3,21:25:03
user1,20:24:08
user0,11:06:12
user3,02:37:45
user1,23:26:01
user0,13:18:38
user0,13:59:04
user2,10:58:04
user5,20:16:22
user2,13:04:30
user1,15:53:24
user5,08:30:02
user1,04:38:37
user5,01:27:08
user4,14:47:21
user5,20:49:27
user0,18:01:09
user4,11:40:05
user0,17:43:01
user3,03:58:05
user0,05:22:36
user4,03:00:41
user1,15:57:16
user1,14:44:29
user1,15:30:25
user1,14:05:06
user1,14:44:28
user1,15:33:20
user1,14:16:17
user1,14:51:15
user1,13:46:51
user1,13:29:37
user1,13:42:39
user1,15:20:31
user1,14:37:24
user1,15:20:38
user1,14:03:44
user1,14:39:57
user1,14:14:34
user1,13:24:33
user1,14:15:24
user1,14:43:04
user1,14:54:25
user1,13:59:44
user1,14:04:29
